Stagione,Id,Ruolo,Giocatori,Squadra,Presenze,Media Voto,Fanta Media,Goal Fatti,Goal Subiti,Rigori Parati,Rigori Calciati,Rigori Segnati,Rigori Sbagliati,Assist,Ammonizioni ,Espulsioni,Autogoal
2020-2021,487,Difensore,De Silvestri,Bologna,28,"5,7","5,84",2,0,0,0,0,0,0,4,0,0
2020-2021,546,Difensore,Bruno Peres,Roma,26,"5,71","5,79",1,0,0,0,0,0,2,6,0,0
2020-2021,640,Difensore,Chiriches,Sassuolo,23,"5,74","5,83",2,0,0,0,0,0,1,6,0,1
2020-2021,729,Difensore,Pereira P.,Crotone,34,"5,72","5,75",0,0,0,0,0,0,4,6,0,0
2020-2021,2006,Difensore,Lirola,Fiorentina,11,"5,82","5,77",0,0,0,0,0,0,1,3,0,0
2020-2021,2309,Difensore,Pezzella Ger.,Fiorentina,32,"5,75","5,77",1,0,0,0,0,0,0,5,0,0
2020-2021,4426,Difensore,Toljan,Sassuolo,24,"5,75","5,79",0,0,0,0,0,0,2,2,0,0
2020-2021,4958,Difensore,Caldirola,Benevento,22,"5,8","5,95",2,0,0,0,0,0,0,3,1,0
2020-2021,5010,Difensore,Ismajli,Spezia,16,"5,94","6,09",1,0,0,0,0,0,1,1,1,0
2020-2021,73,Difensore,Gagliolo,Parma,26,"5,71","5,83",2,0,0,0,0,0,0,6,0,0
2020-2021,142,Difensore,Mario Rui,Napoli,24,"5,94","5,92",0,0,0,0,0,0,1,4,0,0
2020-2021,144,Difensore,Tonelli,Sampdoria,22,"5,91","5,8",1,0,0,0,0,0,0,11,0,0
2020-2021,358,Difensore,De Sciglio,Juventus,1,6,6,0,0,0,0,0,0,0,0,0,0
2020-2021,548,Difensore,Glik,Benevento,36,"5,76","5,78",2,0,0,0,0,0,1,7,1,1
2020-2021,1891,Difensore,Ceccherini,Verona,28,"5,95","5,7",0,0,0,0,0,0,0,10,0,1
2020-2021,2062,Difensore,Bastos,Lazio,2,6,6,0,0,0,0,0,0,0,0,0,0
2020-2021,2252,Difensore,Marchizza,Spezia,22,"5,75","5,75",0,0,0,0,0,0,2,4,0,0
2020-2021,2318,Difensore,Rogerio,Sassuolo,27,"5,96","5,89",0,0,0,0,0,0,0,4,0,0
2020-2021,2769,Difensore,Magnani,Verona,23,"6,02","5,76",0,0,0,0,0,0,0,8,0,1
2020-2021,2865,Difensore,Aina,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,2869,Difensore,Djidji,Crotone,19,"5,63","5,68",1,0,0,0,0,0,0,4,0,0
2020-2021,2870,Difensore,Troost-Ekong,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4323,Difensore,Zeegelaar,Udinese,24,"5,69","5,69",1,0,0,0,0,0,0,6,0,0
2020-2021,4493,Difensore,Dawidowicz,Verona,27,"5,89","5,74",0,0,0,0,0,0,0,9,0,0
2020-2021,4530,Difensore,Kyriakopoulos,Sassuolo,21,"5,83","5,9",1,0,0,0,0,0,0,1,1,0
2020-2021,5323,Difensore,Martinez Quarta,Fiorentina,19,"5,95","5,95",1,0,0,0,0,0,0,4,1,0
2020-2021,15,Difensore,Masiello,Genoa,30,"5,77","5,67",0,0,0,0,0,0,0,6,0,0
2020-2021,134,Difensore,Barba,Benevento,32,"5,67","5,55",0,0,0,0,0,0,2,8,0,1
2020-2021,295,Difensore,Asamoah,Cagliari,7,"5,93","5,93",0,0,0,0,0,0,0,0,0,0
2020-2021,418,Difensore,Goldaniga,Genoa,25,"5,86","5,74",0,0,0,0,0,0,1,8,0,0
2020-2021,425,Difensore,Terzi,Spezia,24,"5,73","5,71",1,0,0,0,0,0,1,7,1,0
2020-2021,1866,Difensore,Ceppitelli,Cagliari,19,"5,76","5,68",0,0,0,0,0,0,0,3,0,0
2020-2021,2016,Difensore,Fazio,Roma,5,"5,5","5,9",1,0,0,0,0,0,0,2,0,0
2020-2021,2083,Difensore,Biraschi,Genoa,13,"5,81","5,73",0,0,0,0,0,0,0,2,0,0
2020-2021,2141,Difensore,Depaoli,Benevento,21,"5,38","5,24",0,0,0,0,0,0,0,2,0,1
2020-2021,2174,Difensore,Venuti,Fiorentina,25,"5,64","5,56",0,0,0,0,0,0,1,3,0,1
2020-2021,2289,Difensore,Dalbert,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4245,Difensore,Smalling,Roma,15,"5,97","5,93",0,0,0,0,0,0,1,3,0,0
2020-2021,4331,Difensore,Ibanez,Roma,30,"5,98","5,83",0,0,0,0,0,0,1,5,1,1
2020-2021,4332,Difensore,Demiral,Juventus,11,"6,05","6,09",0,0,0,0,0,0,1,1,0,0
2020-2021,4494,Difensore,Empereur,Verona,4,"5,88","5,75",0,0,0,0,0,0,0,1,0,0
2020-2021,4495,Difensore,Kumbulla,Roma,19,"5,84","5,82",1,0,0,0,0,0,0,7,0,0
2020-2021,4881,Difensore,Czyborra,Genoa,17,"5,74","5,85",1,0,0,0,0,0,0,2,0,0
2020-2021,4925,Difensore,Carboni,Cagliari,14,"5,79","5,79",0,0,0,0,0,0,1,2,0,0
2020-2021,4967,Difensore,Golemic,Crotone,28,"5,43","5,54",2,0,0,1,1,0,0,4,1,0
2020-2021,4999,Difensore,Ouwejan,Udinese,11,6,"6,18",0,0,0,0,0,0,2,0,0,0
2020-2021,5000,Difensore,Magallan,Crotone,28,"5,54","5,5",1,0,0,0,0,0,1,10,0,0
2020-2021,45,Difensore,Ferrari A.,Sampdoria,10,6,"5,85",0,0,0,0,0,0,0,3,0,0
2020-2021,84,Difensore,Marrone,Crotone,19,"5,37","5,05",0,0,0,0,0,0,0,8,0,1
2020-2021,139,Difensore,Dermaku,Parma,1,"6,5","6,5",0,0,0,0,0,0,0,0,0,0
2020-2021,141,Difensore,Laurini,Parma,12,"5,5","5,46",0,0,0,0,0,0,0,1,0,0
2020-2021,327,Difensore,Patric,Lazio,23,"5,7","5,57",0,0,0,0,0,0,1,8,0,0
2020-2021,365,Difensore,Zapata C.,Genoa,12,"5,67","5,58",0,0,0,0,0,0,0,2,0,0
2020-2021,454,Difensore,Capradossi,Spezia,1,"6,5","6,5",0,0,0,0,0,0,0,0,0,0
2020-2021,578,Difensore,Danilo Lar.,Bologna,35,"5,69","5,6",0,0,0,0,0,0,1,8,0,0
2020-2021,824,Difensore,Adjapong,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,1864,Difensore,Bruno Alves,Parma,18,"5,64","5,72",1,0,0,0,0,0,0,3,0,0
2020-2021,2143,Difensore,Cuomo,Crotone,12,"5,62","5,46",0,0,0,0,0,0,0,4,0,0
2020-2021,2285,Difensore,Bani,Parma,26,"5,77","5,58",0,0,0,0,0,0,0,10,0,0
2020-2021,2288,Difensore,N'koulou,Torino,18,"5,72","5,75",1,0,0,0,0,0,0,5,0,0
2020-2021,2355,Difensore,Marlon,Sassuolo,21,"5,71","5,6",0,0,0,0,0,0,0,4,1,0
2020-2021,2724,Difensore,Buongiorno,Torino,12,"5,75","5,58",0,0,0,0,0,0,0,4,0,0
2020-2021,2746,Difensore,Dijks,Bologna,20,"5,8","5,62",0,0,0,0,0,0,0,5,1,0
2020-2021,4403,Difensore,Chabot,Spezia,22,"5,8","5,73",1,0,0,0,0,0,1,9,1,0
2020-2021,4407,Difensore,Igor,Fiorentina,18,"5,72","5,58",0,0,0,0,0,0,0,5,0,0
2020-2021,4529,Difensore,Ankersen,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4934,Difensore,Lovato,Verona,23,6,"5,89",0,0,0,0,0,0,0,5,0,0
2020-2021,4960,Difensore,Tuia,Benevento,26,"5,75","5,75",1,0,0,0,0,0,0,6,0,0
2020-2021,4976,Difensore,Kalulu,Milan,10,"5,8","6,05",1,0,0,0,0,0,0,1,0,0
2020-2021,4983,Difensore,Ferrer,Spezia,17,"5,97","5,91",0,0,0,0,0,0,1,4,0,0
2020-2021,4985,Difensore,Vignali,Spezia,21,"5,62","5,48",0,0,0,0,0,0,0,4,1,0
2020-2021,5307,Difensore,Valenti,Parma,9,"5,61","5,61",0,0,0,0,0,0,0,0,0,0
2020-2021,5326,Difensore,Busi,Parma,19,"5,47","5,45",0,0,0,0,0,0,1,3,0,0
2020-2021,50,Difensore,Mbaye,Bologna,7,"5,57","5,86",1,0,0,0,0,0,0,2,0,0
2020-2021,106,Difensore,Mattiello,Spezia,1,6,6,0,0,0,0,0,0,0,0,0,0
2020-2021,224,Difensore,De Maio,Udinese,11,"5,82","5,82",0,0,0,0,0,0,0,1,0,0
2020-2021,256,Difensore,Juan Jesus,Roma,4,"5,75","5,75",0,0,0,0,0,0,0,0,0,0
2020-2021,262,Difensore,Santon,Roma,10,"5,75","5,6",0,0,0,0,0,0,0,3,0,0
2020-2021,390,Difensore,Ghoulam,Napoli,8,"6,12","6,06",0,0,0,0,0,0,0,1,0,0
2020-2021,423,Difensore,Rispoli,Crotone,15,"5,67","5,53",0,0,0,0,0,0,0,4,0,0
2020-2021,1999,Difensore,Lukaku J.,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,2087,Difensore,Olivera M.,Fiorentina,1,6,6,0,0,0,0,0,0,0,0,0,0
2020-2021,2116,Difensore,Farago',Bologna,7,"5,64","5,5",0,0,0,0,0,0,0,2,0,0
2020-2021,2171,Difensore,Lyanco,Torino,23,"5,63","5,46",0,0,0,0,0,0,0,8,0,0
2020-2021,2335,Difensore,Luiz Felipe,Lazio,14,"5,82","5,64",0,0,0,0,0,0,0,5,0,0
2020-2021,2795,Difensore,Ter Avest,Udinese,5,"5,5","5,5",0,0,0,0,0,0,0,0,0,0
2020-2021,2871,Difensore,Klavan,Cagliari,11,"5,68","5,64",0,0,0,0,0,0,0,1,0,0
2020-2021,4420,Difensore,Bocchetti,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4519,Difensore,Cetin,Verona,6,"5,75","5,67",0,0,0,0,0,0,0,1,0,0
2020-2021,4959,Difensore,Foulon,Benevento,20,"5,7","5,5",0,0,0,0,0,0,0,4,0,1
2020-2021,4966,Difensore,Gigliotti,Crotone,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4979,Difensore,Ayhan,Sassuolo,15,"5,83","5,77",0,0,0,0,0,0,0,2,0,0
2020-2021,4984,Difensore,Ramos,Spezia,4,"5,75","5,62",0,0,0,0,0,0,0,1,0,0
2020-2021,5293,Difensore,Mojica,Atalanta,5,"5,4","5,3",0,0,0,0,0,0,0,1,0,0
2020-2021,5327,Difensore,Osorio,Parma,22,"5,73","5,68",0,0,0,0,0,0,0,2,0,0
2020-2021,5353,Difensore,Balogh,Parma,3,"5,83","5,67",0,0,0,0,0,0,0,1,0,0
2020-2021,5355,Difensore,Udogie,Verona,5,6,"5,9",0,0,0,0,0,0,0,1,0,0
2020-2021,5376,Difensore,Pastina,Benevento,3,6,"6,17",0,0,0,0,0,0,1,1,0,0
2020-2021,5377,Difensore,Ricci G.,Parma,2,"5,75","5,75",0,0,0,0,0,0,0,0,0,0
2020-2021,5381,Difensore,Dierckx,Parma,7,"5,71","5,64",0,0,0,0,0,0,0,1,0,0
2020-2021,5385,Difensore,Zagaritis,Parma,2,6,6,0,0,0,0,0,0,0,0,0,0
2020-2021,5398,Difensore,Reynolds,Roma,5,"5,4","5,4",0,0,0,0,0,0,0,0,0,0
2020-2021,5399,Difensore,Antov,Bologna,4,"5,62","5,5",0,0,0,0,0,0,0,1,0,0
2020-2021,11,Difensore,Conti,Parma,9,"5,5","5,33",0,0,0,0,0,0,0,3,0,0
2020-2021,78,Difensore,Spolli,Crotone,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,235,Difensore,Laxalt,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,324,Difensore,Hoedt,Lazio,12,"5,67","5,42",0,0,0,0,0,0,0,6,0,0
2020-2021,393,Difensore,Luperto,Crotone,22,"5,41","5,3",0,0,0,0,0,0,0,3,1,0
2020-2021,394,Difensore,Maggio,Benevento,6,"5,17",5,0,0,0,0,0,0,0,2,0,0
2020-2021,490,Difensore,Regini,Sampdoria,1,"4,5","2,5",0,0,0,0,0,0,0,0,0,1
2020-2021,514,Difensore,Antei,Benevento,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,517,Difensore,Dell'orco,Spezia,6,"5,58","5,58",0,0,0,0,0,0,0,0,0,0
2020-2021,519,Difensore,Gazzola,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,521,Difensore,Peluso,Sassuolo,3,"5,5","5,33",0,0,0,0,0,0,0,1,0,0
2020-2021,550,Difensore,Maksimovic,Napoli,15,"5,43","5,27",0,0,0,0,0,0,0,1,0,1
2020-2021,630,Difensore,Sala,Spezia,6,"5,25","5,17",0,0,0,0,0,0,0,1,0,0
2020-2021,1847,Difensore,Caldara,Atalanta,4,"5,88","5,75",0,0,0,0,0,0,0,1,0,0
2020-2021,1868,Difensore,Murru,Torino,11,"5,77","5,77",0,0,0,0,0,0,0,0,0,0
2020-2021,1869,Difensore,Pisacane,Cagliari,4,"5,5","5,38",0,0,0,0,0,0,0,1,0,0
2020-2021,1876,Difensore,Pajac,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,1950,Difensore,Mazzotta,Crotone,1,"4,5",4,0,0,0,0,0,0,0,1,0,0
2020-2021,1979,Difensore,Barreca,Fiorentina,2,"5,5","5,5",0,0,0,0,0,0,0,0,0,0
2020-2021,2007,Difensore,Wallace,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,2168,Difensore,Musacchio,Lazio,4,"5,88","5,75",0,0,0,0,0,0,0,2,0,0
2020-2021,2169,Difensore,Rodriguez R.,Torino,16,"5,5","5,47",0,0,0,0,0,0,0,1,0,0
2020-2021,2208,Difensore,Jaroszynski,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,2279,Difensore,Romagna,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,2664,Difensore,El Yamiq,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,2728,Difensore,Pellegrini Lu.,Genoa,11,"5,68","5,5",0,0,0,0,0,0,1,2,0,1
2020-2021,2745,Difensore,Calabresi,Cagliari,1,6,6,0,0,0,0,0,0,0,0,0,0
2020-2021,2801,Difensore,Iacoponi,Parma,15,"5,47","5,03",0,0,0,0,0,0,0,3,1,2
2020-2021,2860,Difensore,Malcuit,Fiorentina,6,"5,75","5,75",0,0,0,0,0,0,0,0,0,0
2020-2021,4365,Difensore,Corbo,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4366,Difensore,Armini,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4374,Difensore,Walukiewicz,Cagliari,19,"5,63","5,66",0,0,0,0,0,0,1,1,0,0
2020-2021,4397,Difensore,Vavro,Lazio,1,"5,5","5,5",0,0,0,0,0,0,0,0,0,0
2020-2021,4401,Difensore,Gabbia,Milan,7,"5,86","5,71",0,0,0,0,0,0,0,2,0,0
2020-2021,4406,Difensore,Tripaldelli,Cagliari,6,"5,42","5,33",0,0,0,0,0,0,0,1,0,0
2020-2021,4414,Difensore,Denswil,Bologna,2,"5,25","5,25",0,0,0,0,0,0,0,0,0,0
2020-2021,4454,Difensore,Pinna,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4487,Difensore,Ferigra,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4511,Difensore,Duarte,Milan,1,6,6,0,0,0,0,0,0,0,0,0,0
2020-2021,4887,Difensore,Bellanova,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4888,Difensore,Sutalo,Atalanta,4,"5,75","5,75",0,0,0,0,0,0,0,0,0,0
2020-2021,4897,Difensore,Pirola,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4917,Difensore,Prodl,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4945,Difensore,Calafiori,Roma,2,"5,75","5,25",0,0,0,0,0,0,0,2,0,0
2020-2021,4946,Difensore,Frabotta,Juventus,10,"5,8","5,75",0,0,0,0,0,0,1,5,0,0
2020-2021,4950,Difensore,Dalle Mura,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4961,Difensore,Volta,Benevento,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4972,Difensore,Vagiannidis,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4997,Difensore,Ruegg,Verona,6,"5,83","5,83",0,0,0,0,0,0,0,0,0,0
2020-2021,5006,Difensore,Piccini,Atalanta,1,5,5,0,0,0,0,0,0,0,0,0,0
2020-2021,5300,Difensore,Hickey,Bologna,11,"5,77","5,55",0,0,0,0,0,0,0,3,1,0
2020-2021,5316,Difensore,Amione,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,5354,Difensore,Ruggeri,Atalanta,5,"5,6","5,6",0,0,0,0,0,0,0,0,0,0
2020-2021,5365,Difensore,Dragusin,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,5379,Difensore,Onguene',Genoa,3,5,5,0,0,0,0,0,0,0,0,0,0
2020-2021,5406,Difensore,Di Pardo,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,5408,Difensore,Ghislandi,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,5424,Difensore,Amey,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,2529,Centrocampista,Mkhitaryan,Roma,34,"6,25","7,66",13,0,0,1,1,0,10,2,0,0
2020-2021,1850,Centrocampista,Kessie',Milan,37,"6,42","7,31",13,0,0,13,11,2,4,8,0,0
2020-2021,1996,Centrocampista,De Paul,Udinese,36,"6,5","7,43",9,0,0,3,3,0,10,3,2,0
2020-2021,4427,Centrocampista,Malinovskyi,Atalanta,32,"6,34","7,39",8,0,0,1,1,0,11,3,0,0
2020-2021,26,Centrocampista,Gomez,Atalanta,10,"6,55","7,95",4,0,0,0,0,0,2,0,0,0
2020-2021,152,Centrocampista,Zielinski,Napoli,36,"6,33","7,22",8,0,0,0,0,0,9,2,0,0
2020-2021,2002,Centrocampista,Chiesa,Juventus,30,"6,35","7,33",9,0,0,0,0,0,5,3,1,0
2020-2021,536,Centrocampista,Politano,Napoli,36,"6,25","7,04",9,0,0,0,0,0,3,3,0,0
2020-2021,645,Centrocampista,Milinkovic-Savic,Lazio,32,"6,2","7,14",8,0,0,0,0,0,7,4,0,0
2020-2021,2085,Centrocampista,Luis Alberto,Lazio,34,"6,22","6,94",9,0,0,0,0,0,0,5,0,0
2020-2021,2215,Centrocampista,Veretout,Roma,28,"6,2","7,23",10,0,0,5,5,0,1,4,0,0
2020-2021,332,Centrocampista,Candreva,Sampdoria,33,"6,17","6,82",5,0,0,2,2,0,7,1,0,0
2020-2021,2625,Centrocampista,Soriano,Bologna,37,"6,2","6,97",9,0,0,0,0,0,4,5,0,0
2020-2021,632,Centrocampista,Zaccagni,Verona,35,"6,23","6,71",5,0,0,1,1,0,5,6,0,0
2020-2021,440,Centrocampista,Viola,Benevento,17,"6,12","7,03",5,0,0,4,4,0,1,1,0,0
2020-2021,530,Centrocampista,Pellegrini Lo.,Roma,33,"6,15","6,79",7,0,0,1,1,0,5,10,0,0
2020-2021,2194,Centrocampista,Calhanoglu,Milan,33,"6,24","6,82",4,0,0,1,1,0,9,4,0,0
2020-2021,302,Centrocampista,Pereyra,Udinese,34,"6,21","6,68",5,0,0,1,1,0,5,8,0,0
2020-2021,2172,Centrocampista,Barak,Verona,34,"6,03","6,63",7,0,0,0,0,0,3,5,1,0
2020-2021,4973,Centrocampista,Mckennie,Juventus,33,"6,11","6,55",5,0,0,0,0,0,2,5,0,0
2020-2021,234,Centrocampista,Kucka,Parma,28,"6,02","6,7",7,0,0,4,4,0,2,8,0,0
2020-2021,788,Centrocampista,Freuler,Atalanta,33,"6,3","6,52",2,0,0,0,0,0,3,5,0,0
2020-2021,1870,Centrocampista,Barella,Inter,36,"6,29","6,61",3,0,0,0,0,0,5,5,0,0
2020-2021,2077,Centrocampista,Pasalic,Atalanta,21,"6,07","6,95",6,0,0,0,0,0,1,2,0,0
2020-2021,236,Centrocampista,Lazovic,Verona,31,"6,05","6,48",3,0,0,0,0,0,6,3,0,0
2020-2021,827,Centrocampista,Locatelli,Sassuolo,34,"6,24","6,49",4,0,0,2,2,0,1,9,0,0
2020-2021,1995,Centrocampista,Djuricic,Sassuolo,31,"5,97","6,47",5,0,0,1,1,0,3,5,0,0
2020-2021,2833,Centrocampista,Kulusevski,Juventus,34,"6,06","6,4",4,0,0,0,0,0,3,7,0,0
2020-2021,265,Centrocampista,Brozovic,Inter,33,"6,17","6,39",2,0,0,0,0,0,6,7,1,0
2020-2021,1987,Centrocampista,Jankto,Sampdoria,33,"5,88","6,44",6,0,0,0,0,0,3,6,0,0
2020-2021,2556,Centrocampista,Eriksen,Inter,23,"6,13","6,5",3,0,0,0,0,0,0,1,0,0
2020-2021,2857,Centrocampista,Traore' Hj.,Sassuolo,32,"6,03","6,47",5,0,0,0,0,0,2,6,0,0
2020-2021,5001,Centrocampista,Miranchuk,Atalanta,16,"6,19",7,4,0,0,0,0,0,1,0,0,0
2020-2021,2201,Centrocampista,Under,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,2741,Centrocampista,Pessina,Atalanta,26,"6,02","6,25",2,0,0,0,0,0,1,2,0,0
2020-2021,4377,Centrocampista,Castrovilli,Fiorentina,32,"5,88","6,28",5,0,0,0,0,0,3,8,1,0
2020-2021,4423,Centrocampista,Hernani,Parma,31,"5,89","6,48",7,0,0,1,1,0,3,11,0,0
2020-2021,4825,Centrocampista,Diaz B.,Milan,25,"6,08","6,64",4,0,0,0,0,0,3,2,0,0
2020-2021,4988,Centrocampista,Maggiore,Spezia,32,"5,97","6,23",3,0,0,0,0,0,1,3,0,0
2020-2021,2263,Centrocampista,Lazzari,Lazio,32,"6,11","6,33",2,0,0,0,0,0,5,2,1,1
2020-2021,2744,Centrocampista,Svanberg,Bologna,32,"5,91","6,31",5,0,0,0,0,0,2,6,1,0
2020-2021,4725,Centrocampista,Demme,Napoli,21,"6,17","6,4",2,0,0,0,0,0,2,6,0,0
2020-2021,5298,Centrocampista,Pobega,Spezia,20,6,"6,75",6,0,0,0,0,0,0,6,0,0
2020-2021,600,Centrocampista,Verre,Sampdoria,22,6,"6,48",3,0,0,0,0,0,3,3,0,0
2020-2021,2200,Centrocampista,Douglas Costa,Juventus,1,6,6,0,0,0,0,0,0,0,0,0,0
2020-2021,2472,Centrocampista,Ramsey,Juventus,21,"6,12","6,55",2,0,0,0,0,0,4,2,0,0
2020-2021,2775,Centrocampista,Ruiz,Napoli,32,"6,05","6,31",3,0,0,0,0,0,0,1,0,0
2020-2021,4514,Centrocampista,Nandez,Cagliari,32,"6,09","6,23",2,0,0,0,0,0,3,7,1,0
2020-2021,4965,Centrocampista,Marin,Cagliari,37,"5,95","6,24",3,0,0,0,0,0,5,6,0,0
2020-2021,4978,Centrocampista,Damsgaard,Sampdoria,30,"6,1","6,38",2,0,0,0,0,0,4,3,0,0
2020-2021,22,Centrocampista,De Roon,Atalanta,35,"6,07","6,06",1,0,0,0,0,0,1,7,1,0
2020-2021,170,Centrocampista,Badelj,Genoa,29,"6,19","6,28",1,0,0,0,0,0,3,7,0,0
2020-2021,367,Centrocampista,Bonaventura,Fiorentina,32,"6,02","6,28",3,0,0,0,0,0,2,5,0,0
2020-2021,467,Centrocampista,Nainggolan,Cagliari,23,"6,07","6,09",1,0,0,0,0,0,0,5,0,0
2020-2021,704,Centrocampista,Perisic,Inter,31,"5,95","6,35",4,0,0,0,0,0,2,3,0,0
2020-2021,801,Centrocampista,Gagliardini,Inter,23,"6,04","6,48",3,0,0,0,0,0,2,2,0,0
2020-2021,1933,Centrocampista,Mandragora,Torino,27,"5,89","6,17",3,0,0,0,0,0,1,3,1,0
2020-2021,4404,Centrocampista,Thorsby,Sampdoria,33,6,"6,15",3,0,0,0,0,0,1,10,0,0
2020-2021,4892,Centrocampista,Saelemaekers,Milan,32,"5,92","6,12",2,0,0,0,0,0,4,5,1,0
2020-2021,470,Centrocampista,Strootman,Genoa,18,"6,19","6,17",0,0,0,0,0,0,3,7,0,0
2020-2021,2009,Centrocampista,Lukic,Torino,32,"5,75","5,97",3,0,0,0,0,0,0,4,0,0
2020-2021,2011,Centrocampista,Miguel Veloso,Verona,19,6,"6,39",2,0,0,2,2,0,2,1,0,0
2020-2021,2379,Centrocampista,Rabiot,Juventus,33,"5,89","6,18",4,0,0,0,0,0,1,5,1,0
2020-2021,5007,Centrocampista,Ilic,Verona,28,"5,95","6,12",2,0,0,0,0,0,0,2,0,0
2020-2021,28,Centrocampista,Kurtic,Parma,34,"5,79","6,07",4,0,0,0,0,0,0,5,0,0
2020-2021,397,Centrocampista,Allan,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,2124,Centrocampista,Zajc,Genoa,31,"5,9","6,03",1,0,0,0,0,0,3,4,0,0
2020-2021,2290,Centrocampista,Eysseric,Fiorentina,14,"5,93","6,29",2,0,0,0,0,0,0,2,0,0
2020-2021,2414,Centrocampista,Vidal,Inter,20,"6,05","6,12",1,0,0,0,0,0,0,3,0,0
2020-2021,181,Centrocampista,Vecino,Inter,4,"6,25","7,25",1,0,0,0,0,0,1,0,0,0
2020-2021,237,Centrocampista,Perotti,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,238,Centrocampista,Rincon,Torino,36,"5,82","5,79",1,0,0,0,0,0,1,8,1,0
2020-2021,376,Centrocampista,Verdi,Torino,31,"5,77","5,94",1,0,0,0,0,0,5,6,0,0
2020-2021,1851,Centrocampista,Molina S.,Crotone,29,"5,86","5,95",1,0,0,0,0,0,2,1,0,1
2020-2021,2166,Centrocampista,Bentancur,Juventus,32,"5,91","5,88",0,0,0,0,0,0,3,6,1,0
2020-2021,2205,Centrocampista,Berenguer,Torino,2,"5,75","5,75",0,0,0,0,0,0,0,0,0,0
2020-2021,2287,Centrocampista,Ramirez,Sampdoria,23,"5,85","5,87",0,0,0,0,0,0,3,5,0,0
2020-2021,2639,Centrocampista,Bakayoko,Napoli,27,"6,04","6,15",2,0,0,0,0,0,0,4,1,0
2020-2021,2766,Centrocampista,Zaniolo,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,4479,Centrocampista,Elmas,Napoli,21,"5,98","6,26",2,0,0,0,0,0,1,2,0,0
2020-2021,4681,Centrocampista,Lopez M.,Sassuolo,28,"5,98","6,07",2,0,0,0,0,0,0,7,0,0
2020-2021,4886,Centrocampista,Pereiro,Cagliari,6,"5,92","7,08",2,0,0,0,0,0,1,0,0,0
2020-2021,4890,Centrocampista,Tameze,Verona,32,"6,06","6,06",1,0,0,0,0,0,0,6,0,0
2020-2021,4990,Centrocampista,Ricci M.,Spezia,28,6,"5,95",0,0,0,0,0,0,1,5,0,0
2020-2021,5287,Centrocampista,Arslan,Udinese,29,"5,97","6,12",3,0,0,0,0,0,0,9,0,0
2020-2021,115,Centrocampista,Hetemaj,Benevento,29,"5,91","5,9",0,0,0,0,0,0,2,5,0,0
2020-2021,150,Centrocampista,Saponara,Spezia,9,"6,06","6,61",2,0,0,0,0,0,0,0,1,0
2020-2021,430,Centrocampista,Brugman,Parma,24,"5,96","5,98",1,0,0,0,0,0,1,7,0,0
2020-2021,644,Centrocampista,Pulgar,Fiorentina,29,"5,9","5,97",1,0,0,0,0,0,3,8,0,0
